Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Machulince;obecná NZ;Fungujúca;Hlavná 115;951 93;Machulince;Zlaté Moravce;Nitriansky;Bohumil Bielik;376301722;;machulince@mail.t-com.sk
Obecná knižnica Sucháň;obecná NZ;Fungujúca;Sucháň 82;991 35;Sucháň;Veľký Krtíš;Banskobystrický;Anna Triznová;902139111;;obec.suchan@inmail.sk
Obecná knižnica Horná Štubňa;obecná NZ;Fungujúca;Horná Štubňa 472;038 46;Horná Štubňa;Turčianske Teplice;Žilinský;Ing. Ondrej Piški;434927009;;obecnyurad@hornastubna.sk
Obecná knižnica Sľažany;obecná NZ;Fungujúca;Sľažany 90;951 71;Sľažany;Zlaté Moravce;Nitriansky;Ing. Jozef Magát;376302211;;obecslazany@stonline.sk
Obecná knižnica Čeláre;obecná NZ;Fungujúca;Čeláre 120;991 22;Čeláre;Veľký Krtíš;Banskobystrický;Vojtech Ádám;917483274;;obec.celare@gmail.com
Obecná knižnica Veľká Ves nad Ipľom;obecná NZ;Fungujúca;Veľká Ves nad Ipľom 124;991 10;Veľká Ves nad Ipľom;Veľký Krtíš;Banskobystrický;Ing. Ladislav Kerata;474888121;;obecvelkavesnadiplom@gmail.com
Obecná knižnica Kleňany;obecná NZ;Fungujúca;Kleňany 149;991 10;Kleňany;Veľký Krtíš;Banskobystrický;Helena Csákyová;474891309;;klenany@pobox.sk
Obecná knižnica Kátov;obecná NZ;Fungujúca;Kátov 41;908 49;Kátov;Skalica;Trnavský;Terézia Kučrová;346682703;;ocu-katov@stonline.sk
Obecná knižnica Košúty;obecná NZ;Fungujúca;Košúty 20;925 09;Košúty;Galanta;Trnavský;Mgr. Zdenka Mačicová;317849130;;ou.kosuty@stonline.sk
Obecná knižnica Petrova Ves;obecná NZ;Fungujúca;Petrova Ves 53;908 44;Petrova Ves;Skalica;Trnavský;Miroslav Pochylý;346620141;;obecpetrovaves@stonline.sk
Obecná knižnica Gáň;obecná NZ;Fungujúca;Gáň 27;925 31;Gáň;Galanta;Trnavský;Mgr. Denisa Ivančíková;317805104;;gan@gan.sk
Obecná knižnica Hrušovany;obecná NZ;Stagnujúca;Hrušovany 346;956 13;Hrušovany;Topoľčany;Nitriansky;Ing. Jozef Benca;385314076;;hrusovany@hrusovany.sk
Obecná knižnica Kremná;obecná NZ;Stagnujúca;Kremná 19;065 22;Kremná;Stará Ľubovňa;Prešovský;Zdenka Šlampiaková;524395113;;obeckremna@livenet.sk
Obecná knižnica Kalná Roztoka;obecná NZ;Fungujúca;Kalná Roztoka 199;067 72;Kalná Roztoka;Snina;Prešovský;Ladislav Hakulin;577580186;;kalnaroztoka@lekosonline.sk
Obecná knižnica Rejdová;obecná NZ;Fungujúca;Rejdová 47;049 26;Rejdová;Rožňava;Košický;Ing. Ján Valentík;587883240;;starosta@rejdova.sk
Obecná knižnica Vyšné Ladičkovce;obecná NZ;Stagnujúca;Vyšné Ladičkovce 24;067 11;Vyšné Ladičkovce;Humenné;Prešovský;Ján Mucha;905486693;;vysne.ladickovce@satlan.sk
Obecná knižnica Hosťová;obecná NZ;Fungujúca;Hosťová 120;951 02;Hosťová;Nitra;Nitriansky;Mária Jaleczová;910524557;;obec.hostova@stonline.sk
Miestna ľudová knižnica Rákoš;obecná NZ;Fungujúca;Rákoš 130;049 61;Rákoš;Revúca;Banskobystrický;Jaroslav Grendel;584495105;;obecrakos@centrum.sk
Obecná knižnica Skýcov;obecná NZ;Fungujúca;Školská 294;951 85;Skýcov;Zlaté Moravce;Nitriansky;Mgr. Tomáš Kolembus;376346216;;obecskycov@gmail.com
Obecná knižnica Michajlov;obecná NZ;Stagnujúca;Michajlov 56;067 73;Michajlov;Snina;Prešovský;Jana Glogovská;577673144;;ou.michajlov@lekosonline.sk
Obecná knižnica Ratková;obecná NZ;Fungujúca;Ratková 64;982 65;Ratková;Revúca;Banskobystrický;Bc. Ján Bobrovský;915633608;;obecratkova@ferdonet.sk
Obecná knižnica Rudina;obecná NZ;Fungujúca;Rudina 442;023 31;Rudina;Kysucké Nové Mesto;Žilinský;Ing. Anna Mičianová;414214506;;starosta@rudina.sk
Miestna knižnica Belá - Dulice;obecná NZ;Fungujúca;Belá - Dulice 86;038 11;Belá - Dulice;Martin;Žilinský;PhDr. Anna Badínová;434297138;;obec@beladulice.sk
Obecná knižnica Udiča;obecná NZ;Fungujúca;Udiča 302;018 01;Udiča;Považská Bystrica;Trenčiansky;Jozef Slámka;908404583;;info@obecudica.sk
Obecná knižnica Malý Cetín;obecná NZ;Fungujúca;Malý Cetín 105;951 07;Malý Cetín;Nitra;Nitriansky;Leonidas Charizopulos;376581287;;obecmalycetin@gmail.com
Obecná knižnica Červený Hrádok;obecná NZ;Fungujúca;Červený Hrádok 193;951 82;Červený Hrádok;Zlaté Moravce;Nitriansky;Ing. Bohumír Šabík;376342239;;cervenyhradok@gmail.com
Miestna ľudová knižnica Hrnčiarske Zalužany;obecná NZ;Fungujúca;Hlavná 90;980 12;Hrnčiarske Zalužany;Poltár;Banskobystrický;Ing. Branislav Nociar;475672111;;ou@hrnciarskezaluzany.sk
Obecná knižnica Dolná Strehová;obecná NZ;Fungujúca;Hlavná 52;991 02;Dolná Strehová;Veľký Krtíš;Banskobystrický;Ing. Dušan Mališ;474897169;;obec@dolnastrehova.sk
Obecná knižnica Nandraž;obecná NZ;Stagnujúca;Nandraž 23;049 61;Nandraž;Revúca;Banskobystrický;Ing. Marian Laciak;584482424;;obecnandraz@centrum.sk
Obecná knižnica Zlatno;obecná NZ;Fungujúca;Zlatno 99;951 91;Zlatno;Zlaté Moravce;Nitriansky;Róbert Šlehobr;904310649;;zlatno@stonline.sk
Obecná knižnica Ploské;obecná NZ;Zrušená;Ploské 39;049 61;Ploské;Revúca;Banskobystrický;Eva Bakošová;475491113;;obecploske@centrum.sk
Obecná knižnica Veľký Lapáš;obecná NZ;Fungujúca;Veľký Lapáš 488;951 04;Veľký Lapáš;Nitra;Nitriansky;Ing. Andrej Zurbola;377879812;;velkylapas@velkylapas.sk
Obecná knižnica Mostová;obecná NZ;Fungujúca;Mostová 120;925 07;Mostová;Galanta;Trnavský;Mgr. Zuzana Takácsová;908805648;;mostova@mostova-kurt.sk
Obecná knižnica Hrachovo;obecná NZ;Fungujúca;Mieru 35;980 52;Hrachovo;Rimavská Sobota;Banskobystrický;Ondrej Knechta;475695126;;obechrachovo@stonline.sk
Obecná knižnica Mokrá Lúka;obecná NZ;Fungujúca;Mokrá Lúka 2;050 01;Mokrá Lúka;Revúca;Banskobystrický;Ing. Július Laššan;911469545;;obmokraluka@stonline.sk
Obecná knižnica Tomášovce;obecná NZ;Fungujúca;Partizánska 132/7;985 56;Tomášovce;Lučenec;Banskobystrický;Ing. Ján Mičuda;908232232;;obec@tomasovce.sk
Obecná knižnica Podhradie;obecná NZ;Fungujúca;1. mája 194/61;038 52;Podhradie;Martin;Žilinský;Ing. Miroslav Jánošík;434293452;;obecpod@stonline.sk
Obecná knižnica Čechynce;obecná NZ;Fungujúca;Hlavná 112/74;951 07;Čechynce;Nitra;Nitriansky;Vendelín Száraz;376581233;;obec.cechynce@slovanet.sk
Obecná knižnica Klenová;obecná NZ;Stagnujúca;Klenová 126;067 72;Klenová;Snina;Prešovský;Dušan Hirča;577580193;;obecklenova@lekosonline.sk
Knižnica Gergelya Czuczora, Andovce;obecná NZ;Fungujúca;Andovce 4;941 23;Andovce;Nové Zámky;Nitriansky;Mária Czuczor;907424428;;ocuandovce@konfer.eu
Obecná knižnica Chotín;obecná NZ;Fungujúca;Hlavná 486;946 31;Chotín;Komárno;Nitriansky;Sára Lucza;357886090;;ocu.chotin@pnet.sk
Obecná knižnica Veľká Paka;obecná NZ;Fungujúca;Veľká Paka 194;930 51;Veľká Paka;Dunajská Streda;Trnavský;Alexander Hunka;315586701;;starosta@velkapaka.sk
Obecná knižnica Zliechov;obecná NZ;Fungujúca;Zliechov 233;018 32;Zliechov;Ilava;Trenčiansky;Ing. Anton Miko;424442084;;obeczliechov@zliechov.sk
Obecná knižnica G. Kolinoviča Šenkvice;obecná NZ;Fungujúca;Nám. G. Kolinoviča 5;900 81;Šenkvice;Pezinok;Bratislavský;Mgr. Peter Fitz;336486033;;starosta@senkvice.org
Obecná knižnica Bardoňovo;obecná NZ;Stagnujúca;Bardoňovo 123;941 49;Bardoňovo;Nové Zámky;Nitriansky;Tibor Černák;904607696;;starosta@obecbardonovo.sk
Obecná knižnica Váhovce;obecná NZ;Fungujúca;Váhovce 329;925 62;Váhovce;Galanta;Trnavský;Ferdinand Szalay;317898201;;obecvahovce@rejk-net.sk
Obecná knižnica Popudinské Močidľany;obecná NZ;Fungujúca;Popudinské Močidľany 56;908 61;Popudinské Močidľany;Skalica;Trnavský;Mgr. Dana Žúrková;346682766;;obec@popudinskemocidlany.sk
Obecná knižnica Košeca;obecná NZ;Fungujúca;Hlavná 36/100;018 64;Košeca;Ilava;Trenčiansky;Radomír Brtáň;424468183;;podatelna@koseca.sk
Obecná knižnica Rumanová;obecná NZ;Fungujúca;Rumanová 1;951 37;Rumanová;Nitra;Nitriansky;Bc. Jozef Jankovič;376588126;;rumanova@rumanova.sk
Miestna ľudová knižnica Báhoň;obecná NZ;Fungujúca;SNP 65;900 84;Báhoň;Pezinok;Bratislavský;Ing. Ivan Patoprstý;902657618;;starosta@bahon.sk
Obecná knižnica Dlhá nad Váhom;obecná NZ;Fungujúca;Dlhá nad Váhom 225;927 05;Dlhá nad Váhom;Šaľa;Nitriansky;MVDr. Pavol Tóth;317702926;;obec@dlhanadvahom.sk
Miestna ľudová knižnica Moškovec;obecná NZ;Fungujúca;Moškovec 14;038 44;Moškovec;Turčianske Teplice;Žilinský;Ing. Anna Staňová;908622140;;pddrazkovce@gaya.sk
Obecná knižnica Hrubá Borša;obecná NZ;Fungujúca;Hrubá Borša 73;925 23;Hrubá Borša;Senec;Bratislavský;Ladislav Vidra;245901543;;starosta@hrubaborsa.eu
Miestna ľudová knižnica Lopašov;obecná NZ;Fungujúca;Lopašov 80;908 63;Lopašov;Skalica;Trnavský;Marián Bederka;346694905;;obeclopasov@stonline.sk
Obecná knižnica Gajary;obecná NZ;Fungujúca;Hlavná 359;900 61;Gajary;Malacky;Bratislavský;Ing. Peter Tydlitát;347797308;;peter.tydlitad@gajary.sk
Obecná knižnica Dolná Krupá;obecná NZ;Fungujúca;Nám. L. van Beethovena 139/1;919 65;Dolná Krupá;Trnava;Trnavský;Ing. Teofil Mihalovič;334477253;;starosta@dolnakrupa.com
Obecná knižnica Žihárec;obecná NZ;Fungujúca;Žihárec 182;925 83;Žihárec;Šaľa;Nitriansky;Alajos Baranyay;317798201;;obecziharec@mail.t-com.sk
Obecná knižnica Vlčany;obecná NZ;Fungujúca;Vlčany;925 84;Vlčany;Šaľa;Nitriansky;Ing. Július Iván;918930832;;obecvlcany@stonline.sk
Miestna ľudová knižnica Hrnčiarska Ves;obecná NZ;Fungujúca;Pondelok 87;980 13;Hrnčiarska Ves;Poltár;Banskobystrický;Helena Zigová;907567999;;hrnciarskaves@gmail.com
Obecná knižnica Nižná Slaná;obecná NZ;Fungujúca;Námestie SNP 54;049 23;Nižná Slaná;Rožňava;Košický;Ing. Ján Vieloha;587883121;;obecnizna.slana@stonline.sk
Obecná knižnica Sklabiňa;obecná NZ;Fungujúca;Sklabiňa 108;038 03;Sklabiňa;Martin;Žilinský;Ján Brodenec;434262186;;posta@obecsklabina.sk
Obecná knižnica Nová Ves nad Žitavou;obecná NZ;Fungujúca;Hlavná 76;951 51;Nová Ves nad Žitavou;Nitra;Nitriansky;Ing. Marta Danková;377884896;;starostkanovavesnz@mail.t-com.sk
Obecná knižnica Korytárky;obecná NZ;Fungujúca;Korytárky 215;962 05;Korytárky;Detva;Banskobystrický;Mgr. Ľubomír Straka;485466010;;sekretariat@korytarky.sk
Obecná knižnica Hažín nad Cirochou;obecná NZ;Fungujúca;Hažín nad Cirochou 45;067 83;Hažín nad Cirochou;Humenné;Prešovský;Ing. František Bližinský;577755480;;hazinnadcir@netrox.sk
Obecná knižnica Nová Bašta;obecná NZ;Fungujúca;Nová Bašta 54;980 34;Nová Bašta;Rimavská Sobota;Banskobystrický;Agneša Czikorová;475691111;;nova.basta@gmail.com
Obecná knižnica Rokytov pri Humennom;obecná NZ;Stagnujúca;Rokytov pri Humennom;067 13;Rokytov pri Humennom;Humenné;Prešovský;Dušan Stanko;577797166;;ocurokytov@netrox.sk
Obecná knižnica Kráľov Brod;obecná NZ;Fungujúca;Kráľov Brod 4;925 41;Kráľov Brod;Galanta;Trnavský;PhDr. Pavel Racsko;317020132;;kralov.brod@azet.sk
Obecná knižnica Lipovník;obecná NZ;Stagnujúca;Lipovník 113;956 01;Lipovník;Topoľčany;Nitriansky;Dušan Turčan;385373306;;obeclipovnik@wircom.sk
Obecná knižnica Modra nad Cirochou;obecná NZ;Fungujúca;Školská 250;067 82;Modra nad Cirochou;Humenné;Prešovský;Ing. Jozef Hančar;904124698;;modranc@stonline.sk
Obecná knižnica Ráztočno;obecná NZ;Fungujúca;Morovnianska 464/1;972 31;Ráztočno;Prievidza;Trenčiansky;Ivan Škrteľ;465471068;;starosta@obecraztocno.sk
Obecná knižnica Sopkovce;obecná NZ;Stagnujúca;Sopkovce 46;067 22;Sopkovce;Humenné;Prešovský;Ján Dzubaj;577795338;;sopkovce@centrum.sk
Obecná knižnica Zubné;obecná NZ;Fungujúca;Zubné 41;067 33;Zubné;Humenné;Prešovský;Vladimír Pažúr;577880792;;obec.zubne@stonline.sk
Obecná knižnica Rimavské Zalužany;obecná NZ;Fungujúca;Rimavské Zalužany 1;980 53;Rimavské Zalužany;Rimavská Sobota;Banskobystrický;Janka Ďurišová;475495223;;obecrimzaluzany@mail.t-com.sk
Obecná knižnica Nižné Ladičkovce;obecná NZ;Fungujúca;Nižné Ladičkovce 55;067 11;Nižné Ladičkovce;Humenné;Prešovský;Juraj Brehovský;907907029;;obecnladickovce@stonline.sk
Obecná knižnica Ruská Kajňa;obecná NZ;Fungujúca;Ruská Kajňa 7;094 07;Ruská Kajňa;Humenné;Prešovský;Anna Kuzmová;907907225;;ruskakajna@centrum.sk
Obecná knižnica Selice;obecná NZ;Fungujúca;Sov. armády 1131;925 72;Selice;Šaľa;Nitriansky;Igor Mandák;317792317;;obecselice@salamon.sk
Obecná knižnica Babindol;obecná NZ;Fungujúca;Babindol 172;951 53;Babindol;Nitra;Nitriansky;Ing. Peter Ďurica;377883178;;obec@babindol.sk
Obecná knižnica Blhovce;obecná NZ;Fungujúca;Blhovce 157;980 32;Blhovce;Rimavská Sobota;Banskobystrický;Juraj Csörnök;475812128;;obec@blhovce.sk
Knižnica pri OcÚ Ľubiša;obecná NZ;Fungujúca;Ľubiša 129;067 11;Ľubiša;Humenné;Prešovský;Jozef Sklenčár;577796081;;oculubisa@stonline.sk
Obecná knižnica Rokytovce;obecná NZ;Fungujúca;Rokytovce 75;068 01;Rokytovce;Medzilaborce;Prešovský;Viera Palejová;577321607;;obec.rokytovce@gmail.com
Obecná knižnica v Dolnom Chotári;obecná NZ;Stagnujúca;Dolný Chotár 45;925 41;Dolný Chotár;Galanta;Trnavský;František Dora;317780327;;oudchotar@gmail.com
Obecná knižnica Oľka;obecná NZ;Stagnujúca;Oľka 174;067 04;Oľka;Medzilaborce;Prešovský;Štefan Vasilenko;577880826;;obecolka@satlan.sk
Miestna knižnica Slovenská Kajňa;obecná NZ;Fungujúca;Slovenská Kajňa 4;094 02;Slovenská Kajňa;Vranov nad Topľou;Prešovský;Jozef Durkaj;574885710;;sl.kajna@watel.sk
Obecná knižnica Lovinobaňa;obecná NZ;Fungujúca;SNP 1;985 54;Lovinobaňa;Lučenec;Banskobystrický;Ing. Marian Lenhard;474396402;;obeclovinobana@stonline.sk
Obecná knižnica Ďanová;obecná NZ;Stagnujúca;Ďanová 22;038 42;Ďanová;Martin;Žilinský;Ing. Miroslav Ďanovský;434294184;;danova@danova.sk
Obecná knižnica Babín;obecná NZ;Fungujúca;Babín 50;029 52;Babín;Námestovo;Žilinský;Terézia Vlžáková;435577221;;obecbabin@orava.sk
Obecná knižnica Ňagov;obecná NZ;Stagnujúca;Ňagov 49;068 01;Ňagov;Medzilaborce;Prešovský;Sergej Smetanka;577321235;;obecnagov@centrum.sk
Obecná knižnica Radvaň nad Laborcom;obecná NZ;Fungujúca;Radvaň nad Laborcom 76;067 01;Radvaň nad Laborcom;Medzilaborce;Prešovský;;577394102;;obecradvan@stonline.sk
Obecná knižnica Podlužany;obecná NZ;Fungujúca;Podlužany 165;935 27;Podlužany;Levice;Nitriansky;Ing. Ida Kováčová;366322105;;podluzany@imilsoft.sk
Obecná knižnica Norovce;obecná NZ;Fungujúca;Norovce 140;956 38;Norovce;Topoľčany;Nitriansky;Peter Doval;385300100;;ounorovce@mail.t-com.sk
Obecná knižnica Dolné Plachtince;obecná NZ;Fungujúca;Dolné Plachtince 95;991 24;Dolné Plachtince;Veľký Krtíš;Banskobystrický;Jozef Ivic;919319501;;obecdp@gmail.com
Obecná knižnica Lupoč;obecná NZ;Fungujúca;Lupoč 102;985 11;Lupoč;Lučenec;Banskobystrický;Božena Petrusová;474392345;;obeclupoc@gmail.com
Obecná knižnica Sukov;obecná NZ;Stagnujúca;Sukov 63;067 02;Sukov;Medzilaborce;Prešovský;Štefan Šereg;577397141;;sukov@zoznam.sk
Obecná knižnica Hrušov;obecná NZ;Fungujúca;Hrušov 526;991 42;Hrušov;Veľký Krtíš;Banskobystrický;Ing. Pavel Bendík;474880104;;info@hrusov.sk
Obecná knižnica Dúbrava;obecná NZ;Fungujúca;Dúbrava 24;032 12;Dúbrava;Liptovský Mikuláš;Žilinský;Vladimír Janičina;445593251;;obecdubravalm@imafex.sk
Obecná knižnica Zboj;obecná NZ;Stagnujúca;Zboj 98;067 68;Zboj;Snina;Prešovský;Ladislav Ladomirjak;577694116;;obec.zboj@stonline.sk
Obecná knižnica Zbudská Belá;obecná NZ;Stagnujúca;Zbudská Belá 72;067 01;Zbudská Belá;Medzilaborce;Prešovský;Milan Matúška;577394177;;ouzbudskabela@gmail.com
Obecná knižnica Dolný Pial;obecná NZ;Fungujúca;Hlavná 34;935 37;Dolný Pial;Levice;Nitriansky;Bc. Róbert Potocký;366386300;;obecdolnypial@dolnypial.sk
Obecná knižnica Súlovce;obecná NZ;Fungujúca;Súlovce;956 14;Súlovce;Topoľčany;Nitriansky;Ing. Gabriel Svorad;385317085;;obecsulovce@t-com.sk
Obecná knižnica Čechy;obecná NZ;Fungujúca;Čechy 135;941 32;Čechy;Nové Zámky;Nitriansky;Ing. Jozef Baranovič;356470125;;obec.cechy@komnet.sk
Obecná knižnica Nová Sedlica;obecná NZ;Stagnujúca;Nová Sedlica 23;067 68;Nová Sedlica;Snina;Prešovský;Vasiľ Dinič;577694187;;obec.novasedlica@makoba.sk
Obecná knižnica Petrovce;obecná NZ;Fungujúca;Petrovce 89;094 31;Petrovce;Vranov nad Topľou;Prešovský;Ing. Michal Peter;574452321;;obecpetrovce@stonline.sk
Obecná knižnica Žitavany;obecná NZ;Fungujúca;Šimkova 40;951 97;Žitavany;Zlaté Moravce;Nitriansky;Juraj Obert;376426433;;obec@zitavany.sk
Obecná knižnica Zemianske Sady;obecná NZ;Fungujúca;Zemianske Sady 42;925 54;Zemianske Sady;Galanta;Trnavský;Ing. Roman Súkeník;317861125;;ocuzemianskesady@mail.t-com.sk
Obecná knižnica Práznovce;obecná NZ;Fungujúca;M. Nešpora 146/4;955 01;Práznovce;Topoľčany;Nitriansky;Jaroslav Blina;918513686;ocu.praznovce@mail.t-com.sk;
Obecná knižnica Iňa;obecná NZ;Stagnujúca;Iňa 37;935 35;Iňa;Levice;Nitriansky;Jozef Rosipal;366398071;;obecina@wan1.sk
Knižnica Pavla Jozefa Šafárika Kobeliarovo;obecná NZ;Fungujúca;Kobeliarovo 78;049 23;Kobeliarovo;Rožňava;Košický;Jaroslav Nemčko;587951243;;obec@kobeliarovo.sk
Obecná knižnica Brestov;obecná NZ;Fungujúca;Brestov 170;066 01;Brestov;Humenné;Prešovský;Ľudmila Nováková;918539192;;obecbrestov@minet.sk
Obecná knižnica Volkovce;obecná NZ;Fungujúca;Hlavná 4;951 87;Volkovce;Zlaté Moravce;Nitriansky;JUDr. Ondrej Kozolka;376304231;;volkovce@gmail.com
Obecná knižnica Krpeľany;obecná NZ;Fungujúca;Školská 1;038 54;Krpeľany;Martin;Žilinský;Mgr. Jaroslav Kráľ;434295101;;krpelany@krpelany.sk
Obecná knižnica Záhorská Ves;obecná NZ;Fungujúca;Hlavná 40;900 65;Záhorská Ves;Malacky;Bratislavský;JUDr. Boris Šimkovič;347780385;www.zahorskaves.sk;starosta@zahorskaves.sk
Obecná knižnica Čaradice;obecná NZ;Fungujúca;Čaradice 157;953 01;Čaradice;Zlaté Moravce;Nitriansky;Vladislav Uličný;910569873;;obeccaradice@stonline.sk
Miestna ľudová knižnica Čabiny;obecná NZ;Fungujúca;Čabiny 141;067 02;Čabiny;Medzilaborce;Prešovský;Milan Moroz;577397113;;starostacabiny1@centrum.sk
Obecná knižnica Volice;obecná NZ;Fungujúca;Volica 64;067 01;Volica;Medzilaborce;Prešovský;Dušan Petrík;915109918;;ouvolice@gmail.com
Obecná knižnica Rišňovce;obecná NZ;Stagnujúca;Rišňovce 259;951 21;Rišňovce;Nitra;Nitriansky;Karol Laboš;377828108;;obecrisnovce@gmail.com
Obecná knižnica Pribylina;obecná NZ;Fungujúca;Obecná 384/6;032 42;Pribylina;Liptovský Mikuláš;Žilinský;Ing. Milan Kohút;918407100;;pribylina@pribylina.sk
Obecná knižnica Lehôtka;obecná NZ;Stagnujúca;Lehôtka 23;985 11;Lehôtka;Lučenec;Banskobystrický;Richard Laššan;474392346;;oculehotka@stonline.sk
Obecná knižnica Turčianska Štiavnička;obecná NZ;Fungujúca;Jána Kostru 92/76;038 51;Turčianska Štiavnička;Martin;Žilinský;Peter Očka;434293435;;obecturstiavnicka@stonline.sk
Obecná knižnica Turček;obecná NZ;Fungujúca;Turček 123;038 48;Turček;Turčianske Teplice;Žilinský;Oľga Wagnerová;434956560;;obecnyuradturcek@stonline.sk
Obecná knižnica Bystrička;obecná NZ;Fungujúca;Bystrička 260;038 04;Bystrička;Martin;Žilinský;Zdenka Maršalová;434135152;;bystricka@bystricka.sk
Obecná knižnica Dolné Kočkovce;obecná NZ;Fungujúca;Školská 136;020 01;Dolné Kočkovce;Púchov;Trenčiansky;Peter Regina;424677269;;obec_dk@slovanet.sk
Obecná knižnica Láb pri OcÚ Láb;obecná NZ;Fungujúca;Láb 503;900 67;Láb;Malacky;Bratislavský;PaedDr. Monika Valúchová;347790509;;starosta@obeclab.sk
Obecná knižnica Vieska nad Žitavou;obecná NZ;Stagnujúca;Vieska nad Žitavou 64;951 52;Vieska nad Žitavou;Zlaté Moravce;Nitriansky;Štefan Mladý;376334560;;vieskanz@azet.sk
Obecná knižnica Klasov;obecná NZ;Fungujúca;Klasov 106;951 53;Klasov;Nitra;Nitriansky;Ján Balázs;918702150;;starosta@klasov.sk
Obecná knižnica Malé Zálužie;obecná NZ;Fungujúca;Hlavná 63;951 24;Malé Zálužie;Nitra;Nitriansky;Emília Strihová;902716859;;oumalezaluzie@gmail.com
Obecná knižnica Chlebnice;obecná NZ;Fungujúca;Chlebnice 186;027 55;Chlebnice;Dolný Kubín;Žilinský;Ing. Milan Maxoň;435894364;;ouchlebnice@orava.sk
Obecná knižnica Ťapešovo;obecná NZ;Fungujúca;Ťapešovo 83;029 51;Ťapešovo;Námestovo;Žilinský;Pavol Bugaj;918527579;;tapesovo@stonline.sk
Obecná knižnica Papín;obecná NZ;Fungujúca;Papín 148;067 33;Papín;Humenné;Prešovský;Miroslav Lukáč;915373384;;ou.papin@stonline.sk
Obecná knižnica Gočaltovo;obecná NZ;Stagnujúca;Gočaltovo 47;049 32;Gočaltovo;Rožňava;Košický;Jarmila Pavlíková;587931312;;obec.gocaltovo@gmail.com
Obecná knižnica Ptičie;obecná NZ;Stagnujúca;Ptičie 97;067 41;Ptičie;Humenné;Prešovský;Marián Čorný;577888490;;pticie@stonline.sk
Obecná knižnica Závada;obecná NZ;Stagnujúca;Závada 54;991 21;Závada;Veľký Krtíš;Banskobystrický;Miroslav Kalmár;474877132;;obeczavada@dtnet.sk
Obecná knižnica Hronské Kosihy;obecná NZ;Stagnujúca;Hronské Kosihy 61;935 27;Hronské Kosihy;Levice;Nitriansky;Jozef Seneši;366328201;;kosihy@imilsoft.sk
Obecná knižnica Čabrdský Vrbovok;obecná NZ;Fungujúca;Čabradský Vrbovok 59;962 51;Čabradský Vrbovok;Krupina;Banskobystrický;Ing. Soňa Franková;455597112;;obec@cabrdskyvrbovok.sk
Obecná knižnica Zlatná na Ostrove;obecná NZ;Fungujúca;Zlatná na Ostrove 184;946 12;Zlatná na Ostrove;Komárno;Nitriansky;Ing. Eva Varjúová;357781169;;aranyoskh@stonline.sk
Obecná knižnica Vinodol;obecná NZ;Fungujúca;Obecná 473/29;951 06;Vinodol;Nitra;Nitriansky;Stanislav Melišek;376598133;;obecvinodol@stonline.sk
Obecná knižnica Kamenné Kosihy;obecná NZ;Fungujúca;Kamenné Kosihy 3;991 27;Kamenné Kosihy;Veľký Krtíš;Banskobystrický;Tibor Ďurkovič;474884113;;obeckosihy@slovanet.sk
Obecná knižnica Alekšince;obecná NZ;Fungujúca;Alekšince 395;951 22;Alekšince;Nitra;Nitriansky;Igor Miškolci;377822126;;obec@aleksince.sk
Obecná knižnica Bajtava;obecná NZ;Stagnujúca;Bajtava 86;943 65;Bajtava;Nové Zámky;Nitriansky;Jozef Struhár;367575128;;oubajtava@mail.t-com.sk
Obecná knižnica Domadice;obecná NZ;Stagnujúca;Domadice 23;935 87;Domadice;Levice;Nitriansky;Marian Berkeš;908413865;;klimentova@domadice
Obecná knižnica Bôrka;obecná NZ;Fungujúca;Bôrka 5;049 42;Bôrka;Rožňava;Košický;Vojtech Ičo;587882036;;obecborka@gmail.com
Obecná knižnica Sitnica;obecná NZ;Stagnujúca;Nižná Sitnica 105;094 07;Nižná Sitnica;Humenné;Prešovský;Ing. Stanislav Rakár;574478129;;niznasitnica@gmail.com
Obecná knižnica Slepčany;obecná NZ;Fungujúca;Hlavná 338;951 52;Slepčany;Zlaté Moravce;Nitriansky;Ing. Ján Határ;377884032;;info@slepcany.sk
Obecná knižnica Podhradie;obecná NZ;Fungujúca;Podhradie 91;955 01;Podhradie;Topoľčany;Nitriansky;Milan Štefkovič;385390269;;obecpodhradie@topolcany.net
Obecná knižnica Leľa;obecná NZ;Fungujúca;Leľa 3;943 65;Leľa;Nové Zámky;Nitriansky;Ing. Alexander Mezei;367575011;;ocu.lela@mail.t-com.sk
Obecná knižnica Trebeľovce;obecná NZ;Fungujúca;Trebeľovce 109;985 31;Trebeľovce;Lučenec;Banskobystrický;Štefan Šulek;474398151;;obectrebelovce@dkn.sk
Obecná knižnica Paňa;obecná NZ;Fungujúca;Paňa 132;951 05;Paňa;Nitra;Nitriansky;Ing. Milan Korenči;376597513;;obec.pana@gmail.com
Obecná knižnica Štefanov;obecná NZ;Fungujúca;Štefanov 347;906 45;Štefanov;Senica;Trnavský;Rudolf Polák;346537129;;obecstefanov@stonline.sk
Obecná knižnica Radatice;obecná NZ;Stagnujúca;Radatice 105;082 42;Radatice;Prešov;Prešovský;Ondrej Kalata;517796234;;obecradatice@onlinenet.sk
